"","beg","end","IBI","len","durn","mean.isis","SI"
"31",379,381,5.7486,3,0.0046999999999997,0.00234999999999985,0.5
"32",382,383,2.27130000000001,2,0.290199999999999,0.290199999999999,0.5
"33",384,387,2.16629999999999,4,1.26140000000001,0.42046666666667,0.5
"34",388,389,1.56789999999999,2,0.449200000000005,0.449200000000005,0.5
"35",390,391,3.0123,2,0.932699999999997,0.932699999999997,0.5
"36",392,393,0.912900000000008,2,1.4336,1.4336,0.5
"37",394,397,0.0433000000000021,4,0.812099999999987,0.270699999999996,0.5
"38",398,400,0.00970000000000937,3,1.04219999999999,0.521099999999997,0.5
"39",402,424,0.928100000000001,23,0.0709000000000088,0.00322272727272767,0.5
"40",425,470,0.00219999999998777,46,4.0655,0.0903444444444444,0.5
"41",471,473,8.70060000000001,3,0.0690000000000026,0.0345000000000013,0.5
"42",474,475,1.3112,2,3.13209999999999,3.13209999999999,0.5
"43",476,542,0.0468000000000046,67,0.439399999999992,0.00665757575757564,0.5
"44",543,544,7.5813,2,1.75840000000001,1.75840000000001,0.5
"45",546,547,2.62859999999999,2,0.0172000000000025,0.0172000000000025,0.5
"46",548,550,1.0864,3,0.0811000000000064,0.0405500000000032,0.5
"47",551,554,2.1176,4,0.0204999999999984,0.0068333333333328,0.5
"48",555,613,0.00140000000001805,59,0.332699999999988,0.00573620689655152,0.5
"49",614,615,3.345,2,0.858900000000006,0.858900000000006,0.5
"50",616,618,0.682099999999991,3,1.92359999999999,0.961799999999997,0.5
"51",619,620,1.96640000000002,2,0.745299999999986,0.745299999999986,0.5
"52",621,623,4.4957,3,1.19820000000001,0.599100000000007,0.5
"53",624,636,0.0490999999999815,13,0.0985000000000014,0.00820833333333345,0.5
"54",637,692,3.9265,56,0.380899999999997,0.00692545454545449,0.5
"55",694,695,3.57859999999999,2,1.3732,1.3732,0.5
"56",696,697,0.00110000000000809,2,0.308199999999999,0.308199999999999,0.5
"57",698,699,1.29429999999999,2,0.397900000000021,0.397900000000021,0.5
"58",700,701,1.30879999999999,2,2.023,2.023,0.5
"59",702,703,1.3014,2,0.00200000000000955,0.00200000000000955,0.5
"60",704,705,3.0189,2,0.842299999999994,0.842299999999994,0.5
"61",706,707,0.29249999999999,2,1.33750000000001,1.33750000000001,0.5
"62",708,711,0.578399999999988,4,2.92540000000002,0.975133333333342,0.5
"63",712,781,0.29049999999998,70,0.805700000000002,0.0116768115942029,0.5
"64",782,783,4.47880000000001,2,0.00120000000001141,0.00120000000001141,0.5
"65",784,785,2.85749999999999,2,0.999899999999997,0.999899999999997,0.5
"66",786,787,0.754500000000007,2,0.00659999999999172,0.00659999999999172,0.5
"67",788,799,1.31730000000002,12,0.140199999999993,0.0127454545454539,0.5
"68",800,801,2.5309,2,0.256900000000002,0.256900000000002,0.5
"69",803,804,3.1448,2,1.3689,1.3689,0.5
"70",805,806,0.00109999999997967,2,0.49860000000001,0.49860000000001,0.5
"71",807,809,1.3323,3,0.0201999999999884,0.0100999999999942,0.5
"72",810,869,0.00180000000000291,60,0.392300000000006,0.00664915254237298,0.5
"73",870,871,3.1354,2,3.34889999999999,3.34889999999999,0.5
"74",872,873,3.22570000000002,2,0.951099999999997,0.951099999999997,0.5
"75",874,875,0.833100000000002,2,2.0575,2.0575,0.5
"76",876,877,1.8972,2,0.00169999999999959,0.00169999999999959,0.5
"77",878,929,0.0309999999999775,52,4.11500000000001,0.0806862745098041,0.5
"78",930,931,1.89770000000001,2,0.334699999999998,0.334699999999998,0.5
"79",932,933,4.3169,2,4.27849999999998,4.27849999999998,0.5
"80",934,935,0.756200000000007,2,1.20009999999999,1.20009999999999,0.5
"81",936,1001,2.32330000000002,66,0.396999999999991,0.00610769230769218,0.5
"82",1002,1003,5.80690000000001,2,1.80929999999998,1.80929999999998,0.5
"83",1004,1014,0.0046000000000106,11,0.0596999999999923,0.00596999999999923,0.5
"84",1015,1020,2.46559999999999,6,0.694400000000002,0.13888,0.5
"85",1021,1025,0.423900000000003,5,0.026600000000002,0.00665000000000049,0.5
"86",1026,1027,1.1138,2,1.03880000000001,1.03880000000001,0.5
"87",1028,1032,0.944600000000008,5,0.667699999999996,0.166924999999999,0.5
"88",1033,1034,1.50719999999998,2,0.00110000000000809,0.00110000000000809,0.5
"89",1035,1037,1.12100000000001,3,0.739199999999983,0.369599999999991,0.5
"90",1038,1040,2.15810000000002,3,0.384099999999989,0.192049999999995,0.5
"91",1041,1105,0.021000000000015,65,0.249099999999999,0.00389218749999998,0.5
"92",1106,1107,0.56819999999999,2,0.6464,0.6464,0.5
"93",1108,1110,2.5864,3,1.3065,0.65325,0.5
"94",1111,1112,3.53110000000001,2,0.00149999999999295,0.00149999999999295,0.5
"95",1113,1114,0.74799999999999,2,0.687099999999987,0.687099999999987,0.5
"96",1115,1116,1.9796,2,0.393400000000042,0.393400000000042,0.5
"97",1117,1119,1.49109999999996,3,1.13749999999999,0.568749999999994,0.5
"98",1120,1180,1.81280000000004,61,0.401700000000005,0.00669500000000009,0.5
"99",1181,1182,6.29409999999996,2,1.94530000000003,1.94530000000003,0.5
"100",1183,1185,0.0770999999999731,3,0.8553,0.42765,0.5
"101",1186,1187,1.26220000000001,2,0.00110000000000809,0.00110000000000809,0.5
"102",1188,1189,1.17970000000003,2,0.306099999999958,0.306099999999958,0.5
"103",1190,1205,1.27000000000004,16,3.74609999999996,0.249739999999997,0.5
"104",1206,1265,0.033800000000042,60,0.257599999999968,0.00436610169491471,0.5
"105",1266,1267,2.55810000000002,2,2.2235,2.2235,0.5
"106",1268,1269,1.09269999999998,2,0.375200000000007,0.375200000000007,0.5
"107",1270,1272,5.59730000000002,3,0.620499999999993,0.310249999999996,0.5
"108",1273,1274,3.09769999999997,2,0.456700000000012,0.456700000000012,0.5
"109",1275,1278,0.225300000000004,4,0.404499999999985,0.134833333333328,0.5
"110",1280,1338,0.0504999999999995,59,0.376100000000008,0.00648448275862083,0.5
